name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
JavaGuide,2018-05-07T13:27:00Z,2022-09-12T01:31:20Z,715,0,Java,756,66,https://github.com/Snailclimb/JavaGuide,127183
java-design-patterns,2014-08-09T16:45:18Z,2022-09-11T22:55:34Z,853,0,Java,481,218,https://github.com/iluwatar/java-design-patterns,76679
LeetCodeAnimation,2018-12-06T08:01:22Z,2022-09-12T00:42:53Z,63,0,Java,42,15,https://github.com/MisterBooo/LeetCodeAnimation,71404
advanced-java,2018-10-06T11:38:30Z,2022-09-11T23:20:28Z,74,1,Java,133,1,https://github.com/doocs/advanced-java,65366
spring-boot,2012-10-19T15:02:57Z,2022-09-11T20:19:46Z,41,145,Java,26109,541,https://github.com/spring-projects/spring-boot,63123
elasticsearch,2010-02-08T13:20:56Z,2022-09-12T00:22:10Z,50915,96,Java,27229,3434,https://github.com/elastic/elasticsearch,61079
mall,2018-04-04T01:11:44Z,2022-09-11T17:30:06Z,0,2,Java,414,25,https://github.com/macrozheng/mall,60957
interviews,2017-02-14T18:19:25Z,2022-09-11T20:34:58Z,42,0,Java,19,30,https://github.com/kdn251/interviews,58163
spring-framework,2010-12-08T04:04:45Z,2022-09-12T00:25:06Z,720,234,Java,21221,1236,https://github.com/spring-projects/spring-framework,49090
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2022-09-11T18:10:17Z,0,0,Java,147,88,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,48002
Java,2016-07-16T10:21:02Z,2022-09-11T23:47:38Z,835,0,Java,675,8,https://github.com/TheAlgorithms/Java,47654
RxJava,2013-01-08T20:11:48Z,2022-09-11T20:55:56Z,3103,229,Java,3085,12,https://github.com/ReactiveX/RxJava,46421
guava,2014-05-29T16:23:17Z,2022-09-12T00:03:04Z,363,35,Java,2726,656,https://github.com/google/guava,45664
retrofit,2010-09-06T21:39:43Z,2022-09-11T17:02:09Z,764,0,Java,2457,140,https://github.com/square/retrofit,40507
dubbo,2012-06-19T07:56:02Z,2022-09-11T00:01:33Z,3432,54,Java,5011,429,https://github.com/apache/dubbo,37839
MPAndroidChart,2014-04-25T14:29:47Z,2022-09-11T18:52:24Z,190,44,Java,2861,1969,https://github.com/PhilJay/MPAndroidChart,35555
ghidra,2019-03-01T03:27:48Z,2022-09-11T23:50:15Z,304,22,Java,2146,1187,https://github.com/NationalSecurityAgency/ghidra,34183
lottie-android,2016-10-06T22:42:42Z,2022-09-11T18:47:17Z,552,43,Java,1437,33,https://github.com/airbnb/lottie-android,33179
glide,2013-07-08T22:52:33Z,2022-09-11T17:02:51Z,407,39,Java,3786,364,https://github.com/bumptech/glide,32961
tutorials,2013-04-29T18:26:36Z,2022-09-12T00:22:52Z,8728,0,Java,594,25,https://github.com/eugenp/tutorials,31906
jadx,2013-03-18T17:08:21Z,2022-09-12T00:47:35Z,353,25,Java,1000,249,https://github.com/skylot/jadx,31550
hello-algorithm,2020-05-29T05:47:09Z,2022-09-12T01:19:04Z,25,0,Java,32,6,https://github.com/geekxh/hello-algorithm,31345
AndroidUtilCode,2016-07-30T18:18:32Z,2022-09-11T13:00:28Z,85,116,Java,1259,214,https://github.com/Blankj/AndroidUtilCode,31335
jeecg-boot,2018-11-26T10:40:00Z,2022-09-11T15:58:06Z,12,21,Java,3325,29,https://github.com/jeecgboot/jeecg-boot,30749
arthas,2018-08-29T17:15:57Z,2022-09-12T00:29:47Z,403,46,Java,1391,196,https://github.com/alibaba/arthas,30444
zxing,2011-10-12T14:07:27Z,2022-09-12T00:07:12Z,207,28,Java,1161,6,https://github.com/zxing/zxing,30077
netty,2010-11-09T09:22:21Z,2022-09-12T01:12:55Z,2800,0,Java,5382,521,https://github.com/netty/netty,29901
dbeaver,2015-10-21T08:26:28Z,2022-09-12T00:26:52Z,2780,159,Java,11682,1541,https://github.com/dbeaver/dbeaver,28236
spring-boot-examples,2016-11-05T05:32:33Z,2022-09-11T14:59:34Z,7,0,Java,97,8,https://github.com/ityouknow/spring-boot-examples,27968
apollo,2016-03-04T10:24:23Z,2022-09-11T17:46:47Z,1236,37,Java,2745,127,https://github.com/apolloconfig/apollo,27264
JCSprout,2017-12-17T09:06:50Z,2022-09-10T15:39:45Z,69,0,Java,59,30,https://github.com/crossoverJie/JCSprout,26805
spring-boot-demo,2017-11-10T06:27:29Z,2022-09-11T23:49:50Z,15,0,Java,71,74,https://github.com/xkcoding/spring-boot-demo,26561
druid,2011-11-03T05:12:51Z,2022-09-11T07:45:18Z,981,45,Java,1359,2299,https://github.com/alibaba/druid,26005
butterknife,2013-03-05T08:18:59Z,2022-09-10T15:38:35Z,346,0,Java,1078,97,https://github.com/JakeWharton/butterknife,25683
miaosha,2018-09-14T04:36:24Z,2022-09-11T12:50:14Z,17,0,Java,38,38,https://github.com/qiurunze123/miaosha,25274
proxyee-down,2017-10-25T10:07:27Z,2022-09-11T08:54:38Z,16,49,Java,0,0,https://github.com/proxyee-down-org/proxyee-down,25164
easyexcel,2018-02-06T03:14:08Z,2022-09-11T14:26:44Z,111,1,Java,2240,154,https://github.com/alibaba/easyexcel,25003
fastjson,2011-11-03T06:58:52Z,2022-09-11T14:13:05Z,418,84,Java,1627,1789,https://github.com/alibaba/fastjson,24954
vhr,2018-01-04T08:57:51Z,2022-09-11T15:37:46Z,1,0,Java,93,154,https://github.com/lenve/vhr,24814
selenium,2013-01-14T21:40:56Z,2022-09-11T22:08:13Z,1061,76,Java,8260,80,https://github.com/SeleniumHQ/selenium,24543
SpringAll,2018-05-02T02:48:44Z,2022-09-12T01:30:23Z,1,0,Java,27,13,https://github.com/wuyouzhuguli/SpringAll,24228
EventBus,2012-07-16T16:55:40Z,2022-09-10T19:10:29Z,31,7,Java,465,104,https://github.com/greenrobot/EventBus,24092
canal,2013-01-13T10:59:52Z,2022-09-12T00:24:37Z,396,24,Java,3011,779,https://github.com/alibaba/canal,24029
hutool,2014-04-13T07:23:51Z,2022-09-11T09:28:34Z,308,120,Java,1946,9,https://github.com/dromara/hutool,23869
nacos,2018-06-15T06:49:27Z,2022-09-11T18:19:10Z,2031,47,Java,5705,435,https://github.com/alibaba/nacos,23867
toBeTopJavaer,2018-10-25T09:54:54Z,2022-09-11T17:55:29Z,52,0,Java,63,52,https://github.com/hollischuang/toBeTopJavaer,23828
SmartRefreshLayout,2017-06-02T09:52:50Z,2022-09-11T16:13:34Z,6,10,Java,1197,247,https://github.com/scwang90/SmartRefreshLayout,23795
spring-cloud-alibaba,2017-12-01T20:49:15Z,2022-09-11T14:07:55Z,618,28,Java,1455,376,https://github.com/alibaba/spring-cloud-alibaba,23577
halo,2018-03-21T12:56:52Z,2022-09-11T23:50:01Z,657,87,Java,1327,173,https://github.com/halo-dev/halo,23504
BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,2022-09-11T14:17:20Z,191,193,Java,2902,499,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,23098
kafka,2011-08-15T18:06:16Z,2022-09-11T16:24:52Z,5759,0,Java,0,0,https://github.com/apache/kafka,23037
Hystrix,2012-11-19T20:14:46Z,2022-09-11T18:19:34Z,672,79,Java,681,340,https://github.com/Netflix/Hystrix,22910
seata,2018-12-28T08:37:22Z,2022-09-11T07:50:24Z,1532,33,Java,2171,638,https://github.com/seata/seata,22782
Signal-Android,2011-12-15T20:01:12Z,2022-09-11T22:44:36Z,238,0,Java,9523,241,https://github.com/signalapp/Signal-Android,22772
xxl-job,2015-11-28T12:59:34Z,2022-09-12T00:37:50Z,96,31,Java,1701,880,https://github.com/xuxueli/xxl-job,22459
gson,2015-03-19T18:21:20Z,2022-09-11T14:45:10Z,370,4,Java,1177,307,https://github.com/google/gson,21355
NewPipe,2015-09-03T23:39:26Z,2022-09-12T01:16:51Z,1284,121,Java,5918,1118,https://github.com/TeamNewPipe/NewPipe,20833
Telegram,2013-10-25T14:08:10Z,2022-09-11T23:10:34Z,20,75,Java,0,0,https://github.com/DrKLO/Telegram,20690
libgdx,2012-08-10T19:34:38Z,2022-09-12T01:01:44Z,2444,9,Java,3343,182,https://github.com/libgdx/libgdx,20430
skywalking,2015-11-07T03:30:36Z,2022-09-11T14:21:12Z,3747,53,Java,4317,71,https://github.com/apache/skywalking,20195
Sentinel,2018-04-04T06:37:33Z,2022-09-11T07:44:09Z,435,21,Java,1454,452,https://github.com/alibaba/Sentinel,19818
ExoPlayer,2014-06-13T21:19:18Z,2022-09-11T15:16:14Z,533,20,Java,8793,629,https://github.com/google/ExoPlayer,19793
redisson,2014-01-11T14:06:25Z,2022-09-11T16:31:12Z,302,112,Java,3710,320,https://github.com/redisson/redisson,19761
flink,2014-06-07T07:00:10Z,2022-09-11T14:55:17Z,6595,0,Java,0,0,https://github.com/apache/flink,19718
RxAndroid,2014-08-19T03:46:38Z,2022-09-10T23:43:50Z,171,18,Java,341,2,https://github.com/ReactiveX/RxAndroid,19694
jenkins,2010-11-22T21:21:23Z,2022-09-11T22:16:07Z,5291,204,Java,0,0,https://github.com/jenkinsci/jenkins,19449
bazel,2014-06-12T16:00:38Z,2022-09-11T22:26:18Z,256,170,Java,7767,2411,https://github.com/bazelbuild/bazel,19363
DoKit,2018-08-14T10:32:07Z,2022-09-11T16:06:35Z,339,10,Java,473,165,https://github.com/didi/DoKit,19025
eladmin,2018-12-14T08:54:24Z,2022-09-11T06:25:27Z,71,0,Java,590,21,https://github.com/elunez/eladmin,18685
PhotoView,2012-07-17T16:39:00Z,2022-09-11T20:06:01Z,54,5,Java,476,184,https://github.com/Baseflow/PhotoView,18327
