iso_code,date,total_cases,new_cases,total_deaths,new_deaths,hosp_patients,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population
BRA,2020-02-26,1,1,,,,,,,,214326223
BRA,2020-02-27,1,0,,,,,,,,214326223
BRA,2020-02-28,1,0,,,,,,,,214326223
BRA,2020-02-29,2,1,,,,,,,,214326223
BRA,2020-03-01,2,0,,,,,,,,214326223
BRA,2020-03-02,2,0,,,,,,,,214326223
BRA,2020-03-03,2,0,,,,,,,,214326223
BRA,2020-03-04,4,2,,,,,,,,214326223
BRA,2020-03-05,4,0,,,,,,,,214326223
BRA,2020-03-06,13,9,,,,,,,,214326223
BRA,2020-03-07,13,0,,,,,,,,214326223
BRA,2020-03-08,20,7,,,,,,,,214326223
BRA,2020-03-09,25,5,,,,,,,,214326223
BRA,2020-03-10,31,6,,,,,,,,214326223
BRA,2020-03-11,38,7,,,,,,,,214326223
BRA,2020-03-12,52,14,,,,,,,,214326223
BRA,2020-03-13,151,99,,,,,,,,214326223
BRA,2020-03-14,151,0,,,,,,,,214326223
BRA,2020-03-15,162,11,,,,,,,,214326223
BRA,2020-03-16,200,38,,,,,,,,214326223
BRA,2020-03-17,321,121,1,1,,,,,,214326223
BRA,2020-03-18,372,51,3,2,,,,,,214326223
BRA,2020-03-19,621,249,6,3,,,,,,214326223
BRA,2020-03-20,793,172,11,5,,,,,,214326223
BRA,2020-03-21,1021,228,15,4,,,,,,214326223
BRA,2020-03-22,1546,525,25,10,,,,,,214326223
BRA,2020-03-23,1924,378,34,9,,,,,,214326223
BRA,2020-03-24,2247,323,46,12,,,,,,214326223
BRA,2020-03-25,2554,307,59,13,,,,,,214326223
BRA,2020-03-26,2985,431,77,18,,,,,,214326223
BRA,2020-03-27,3417,432,92,15,,,,,,214326223
BRA,2020-03-28,3904,487,111,19,,,,,,214326223
BRA,2020-03-29,4256,352,136,25,,,,,,214326223
BRA,2020-03-30,4579,323,159,23,,,,,,214326223
BRA,2020-03-31,5717,1138,201,42,,,,,,214326223
BRA,2020-04-01,6836,1119,240,39,,,,,,214326223
BRA,2020-04-02,8044,1208,324,84,,,,,,214326223
BRA,2020-04-03,9056,1012,359,35,,,,,,214326223
BRA,2020-04-04,10360,1304,445,86,,,,,,214326223
BRA,2020-04-05,11130,770,486,41,,,,,,214326223
BRA,2020-04-06,12161,1031,564,78,,,,,,214326223
BRA,2020-04-07,14034,1873,686,122,,,,,,214326223
BRA,2020-04-08,16170,2136,819,133,,,,,,214326223
BRA,2020-04-09,18092,1922,950,131,,,,,,214326223
BRA,2020-04-10,19638,1546,1057,107,,,,,,214326223
BRA,2020-04-11,20727,1089,1124,67,,,,,,214326223
BRA,2020-04-12,22192,1465,1223,99,,,,,,214326223
BRA,2020-04-13,23430,1238,1328,105,,,,,,214326223
BRA,2020-04-14,25262,1832,1532,204,,,,,,214326223
BRA,2020-04-15,28320,3058,1736,204,,,,,,214326223
BRA,2020-04-16,30425,2105,1924,188,,,,,,214326223
BRA,2020-04-17,33682,3257,2141,217,,,,,,214326223
BRA,2020-04-18,36658,2976,2354,213,,,,,,214326223
BRA,2020-04-19,38654,1996,2462,108,,,,,,214326223
BRA,2020-04-20,40743,2089,2587,125,,,,,,214326223
BRA,2020-04-21,43079,2336,2741,154,,,,,,214326223
BRA,2020-04-22,45757,2678,2906,165,,,,,,214326223
BRA,2020-04-23,50036,4279,3331,425,,,,,,214326223
BRA,2020-04-24,54043,4007,3704,373,,,,,,214326223
BRA,2020-04-25,59324,5281,4057,353,,,,,,214326223
BRA,2020-04-26,63100,3776,4286,229,,,,,,214326223
BRA,2020-04-27,67446,4346,4603,317,,,,,,214326223
BRA,2020-04-28,73235,5789,5083,480,,,,,,214326223
BRA,2020-04-29,79685,6450,5513,430,,,,,,214326223
BRA,2020-04-30,87187,7502,6006,493,,,,,,214326223
BRA,2020-05-01,92202,5015,6412,406,,,,,,214326223
BRA,2020-05-02,97100,4898,6761,349,,,,,,214326223
BRA,2020-05-03,101826,4726,7051,290,,,,,,214326223
BRA,2020-05-04,108620,6794,7367,316,,,,,,214326223
BRA,2020-05-05,115455,6835,7938,571,,,,,,214326223
BRA,2020-05-06,126611,11156,8588,650,,,,,,214326223
BRA,2020-05-07,135773,9162,9190,602,,,,,,214326223
BRA,2020-05-08,146894,11121,10017,827,,,,,,214326223
BRA,2020-05-09,156061,9167,10656,639,,,,,,214326223
BRA,2020-05-10,162699,6638,11123,467,,,,,,214326223
BRA,2020-05-11,169594,6895,11653,530,,,,,,214326223
BRA,2020-05-12,178214,8620,12461,808,,,,,,214326223
BRA,2020-05-13,190137,11923,13240,779,,,,,,214326223
BRA,2020-05-14,203165,13028,13999,759,,,,,,214326223
BRA,2020-05-15,220291,17126,14962,963,,,,,,214326223
BRA,2020-05-16,233511,13220,15662,700,,,,,,214326223
BRA,2020-05-17,241080,7569,16118,456,,,,,,214326223
BRA,2020-05-18,255368,14288,16853,735,,,,,,214326223
BRA,2020-05-19,271885,16517,17983,1130,,,,,,214326223
BRA,2020-05-20,294624,22739,19059,1076,,,,,,214326223
BRA,2020-05-21,312761,18137,20128,1069,,,,,,214326223
BRA,2020-05-22,334568,21807,21159,1031,,,,,,214326223
BRA,2020-05-23,351565,16997,22205,1046,,,,,,214326223
BRA,2020-05-24,366033,14468,22863,658,,,,,,214326223
BRA,2020-05-25,378840,12807,23590,727,,,,,,214326223
BRA,2020-05-26,395167,16327,24644,1054,,,,,,214326223
BRA,2020-05-27,415366,20199,25705,1061,,,,,,214326223
BRA,2020-05-28,443703,28337,26895,1190,,,,,,214326223
BRA,2020-05-29,470593,26890,28032,1137,,,,,,214326223
BRA,2020-05-30,502914,32321,28896,864,,,,,,214326223
BRA,2020-05-31,516137,13223,29367,471,,,,,,214326223
BRA,2020-06-01,531286,15149,30108,741,,,,,,214326223
BRA,2020-06-02,562963,31677,31473,1365,,,,,,214326223
BRA,2020-06-03,589048,26085,32667,1194,,,,,,214326223
BRA,2020-06-04,621002,31954,34177,1510,,,,,,214326223
BRA,2020-06-05,653103,32101,35253,1076,,,,,,214326223
BRA,2020-06-06,676893,23790,36054,801,,,,,,214326223
BRA,2020-06-07,694881,17988,36530,476,,,,,,214326223
BRA,2020-06-08,712219,17338,37393,863,,,,,,214326223
BRA,2020-06-09,743917,31698,38586,1193,,,,,,214326223
BRA,2020-06-10,777707,33790,39824,1238,,,,,,214326223
BRA,2020-06-11,806399,28692,41092,1268,,,,,,214326223
BRA,2020-06-12,830681,24282,41935,843,,,,,,214326223
BRA,2020-06-13,851911,21230,42792,857,,,,,,214326223
BRA,2020-06-14,868705,16794,43426,634,,,,,,214326223
BRA,2020-06-15,893322,24617,44190,764,,,,,,214326223
BRA,2020-06-16,930305,36983,45522,1332,,,,,,214326223
BRA,2020-06-17,961230,30925,46707,1185,,,,,,214326223
BRA,2020-06-18,986750,25520,47946,1239,,,,,,214326223
BRA,2020-06-19,1042809,56059,49118,1172,,,,,,214326223
BRA,2020-06-20,1106332,63523,50100,982,,,,,,214326223
BRA,2020-06-21,1086536,,50683,583,,,,,,214326223
BRA,2020-06-22,1114728,28192,51445,762,,,,,,214326223
BRA,2020-06-23,1154255,39527,52851,1406,,,,,,214326223
BRA,2020-06-24,1195288,41033,53955,1104,,,,,,214326223
BRA,2020-06-25,1236752,41464,55135,1180,,,,,,214326223
BRA,2020-06-26,1281636,44884,56128,993,,,,,,214326223
BRA,2020-06-27,1318556,36920,57159,1031,,,,,,214326223
BRA,2020-06-28,1351439,32883,57753,594,,,,,,214326223
BRA,2020-06-29,1372989,21550,58475,722,,,,,,214326223
BRA,2020-06-30,1412669,39680,59792,1317,,,,,,214326223
BRA,2020-07-01,1459494,46825,60878,1086,,,,,,214326223
BRA,2020-07-02,1503895,44401,62137,1259,,,,,,214326223
BRA,2020-07-03,1546935,43040,63350,1213,,,,,,214326223
BRA,2020-07-04,1580502,33567,64410,1060,,,,,,214326223
BRA,2020-07-05,1605695,25193,64968,558,,,,,,214326223
BRA,2020-07-06,1630149,24454,65653,685,,,,,,214326223
BRA,2020-07-07,1676848,46699,66953,1300,,,,,,214326223
BRA,2020-07-08,1722098,45250,68126,1173,,,,,,214326223
BRA,2020-07-09,1765060,42962,69348,1222,,,,,,214326223
BRA,2020-07-10,1809371,44311,70646,1298,,,,,,214326223
BRA,2020-07-11,1844318,34947,71578,932,,,,,,214326223
BRA,2020-07-12,1867976,23658,72195,617,,,,,,214326223
BRA,2020-07-13,1890869,22893,73030,835,,,,,,214326223
BRA,2020-07-14,1933791,42922,74324,1294,,,,,,214326223
BRA,2020-07-15,1973933,40142,75604,1280,,,,,,214326223
BRA,2020-07-16,2017616,43683,76903,1299,,,,,,214326223
BRA,2020-07-17,2052234,34618,78026,1123,,,,,,214326223
BRA,2020-07-18,2077987,25753,78870,844,,,,,,214326223
BRA,2020-07-19,2101399,23412,79578,708,,,,,,214326223
BRA,2020-07-20,2124152,22753,80346,768,,,,,,214326223
BRA,2020-07-21,2171079,46927,81663,1317,,,,,,214326223
BRA,2020-07-22,2237229,66150,82959,1296,,,,,,214326223
BRA,2020-07-23,2294555,57326,84272,1313,,,,,,214326223
BRA,2020-07-24,2351458,56903,85437,1165,,,,,,214326223
BRA,2020-07-25,2398993,47535,86536,1099,,,,,,214326223
BRA,2020-07-26,2421666,22673,87117,581,,,,,,214326223
BRA,2020-07-27,2449677,28011,87802,685,,,,,,214326223
BRA,2020-07-28,2503681,54004,89060,1258,,,,,,214326223
BRA,2020-07-29,2559132,55451,90259,1199,,,,,,214326223
BRA,2020-07-30,2617187,58055,91461,1202,,,,,,214326223
BRA,2020-07-31,2670451,53264,92728,1267,,,,,,214326223
BRA,2020-08-01,2711992,41541,93669,941,,,,,,214326223
BRA,2020-08-02,2736058,24066,94193,524,,,,,,214326223
BRA,2020-08-03,2756164,20106,94795,602,,,,,,214326223
BRA,2020-08-04,2812447,56283,96153,1358,,,,,,214326223
BRA,2020-08-05,2868616,56169,97519,1366,,,,,,214326223
BRA,2020-08-06,2922605,53989,98745,1226,,,,,,214326223
BRA,2020-08-07,2972008,49403,99830,1085,,,,,,214326223
BRA,2020-08-08,3018397,46389,100657,827,,,,,,214326223
BRA,2020-08-09,3041127,22730,101226,569,,,,,,214326223
BRA,2020-08-10,3067633,26506,102015,789,,,,,,214326223
BRA,2020-08-11,3118153,50520,103209,1194,,,,,,214326223
BRA,2020-08-12,3173107,54954,104393,1184,,,,,,214326223
BRA,2020-08-13,3233820,60713,105635,1242,,,,,,214326223
BRA,2020-08-14,3283227,49407,106642,1007,,,,,,214326223
BRA,2020-08-15,3320108,36881,107365,723,,,,,,214326223
BRA,2020-08-16,3343114,23006,107952,587,,,,,,214326223
BRA,2020-08-17,3367511,24397,108748,796,,,,,,214326223
BRA,2020-08-18,3416775,49264,110100,1352,,,,,,214326223
BRA,2020-08-19,3465378,48603,111263,1163,,,,,,214326223
BRA,2020-08-20,3508352,42974,112500,1237,,,,,,214326223
BRA,2020-08-21,3540678,32326,113551,1051,,,,,,214326223
BRA,2020-08-22,3586586,45908,114379,828,,,,,,214326223
BRA,2020-08-23,3608459,21873,114834,455,,,,,,214326223
BRA,2020-08-24,3631972,23513,115557,723,,,,,,214326223
BRA,2020-08-25,3678279,46307,116760,1203,,,,,,214326223
BRA,2020-08-26,3726431,48152,117839,1079,,,,,,214326223
BRA,2020-08-27,3768691,42260,118824,985,,,,,,214326223
BRA,2020-08-28,3812779,44088,119673,849,,,,,,214326223
BRA,2020-08-29,3850070,37291,120570,897,,,,,,214326223
BRA,2020-08-30,3864604,14534,120971,401,,,,,,214326223
BRA,2020-08-31,3914829,50225,121618,647,,,,,,214326223
BRA,2020-09-01,3959158,44329,122768,1150,,,,,,214326223
BRA,2020-09-02,4005611,46453,123972,1204,,,,,,214326223
BRA,2020-09-03,4052420,46809,124839,867,,,,,,214326223
BRA,2020-09-04,4091959,39539,125688,849,,,,,,214326223
BRA,2020-09-05,4125816,33857,126292,604,,,,,,214326223
BRA,2020-09-06,4140488,14672,126750,458,,,,,,214326223
BRA,2020-09-07,4150004,9516,127070,320,,,,,,214326223
BRA,2020-09-08,4168790,18786,127595,525,,,,,,214326223
BRA,2020-09-09,4205877,37087,128752,1157,,,,,,214326223
BRA,2020-09-10,4246638,40761,129726,974,,,,,,214326223
BRA,2020-09-11,4288171,41533,130574,848,,,,,,214326223
