name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
freeCodeCamp,2014-12-24T17:49:19Z,2022-10-02T23:51:33Z,18314,0,TypeScript,16208,154,https://github.com/freeCodeCamp/freeCodeCamp,354490
react,2013-05-24T16:15:54Z,2022-10-02T23:39:23Z,8534,99,JavaScript,10902,801,https://github.com/facebook/react,195537
bootstrap,2011-07-29T21:19:00Z,2022-10-02T20:45:37Z,7856,80,JavaScript,21285,249,https://github.com/twbs/bootstrap,159803
Python,2016-07-16T09:44:01Z,2022-10-02T23:33:56Z,1888,0,Python,1079,36,https://github.com/TheAlgorithms/Python,145776
flutter,2015-03-06T22:54:58Z,2022-10-02T22:16:11Z,27541,0,Dart,62701,11061,https://github.com/flutter/flutter,145469
vscode,2015-09-03T20:23:38Z,2022-10-02T23:45:11Z,12019,80,TypeScript,135228,7455,https://github.com/microsoft/vscode,137216
react-native,2015-01-09T18:10:16Z,2022-10-02T21:11:44Z,647,214,JavaScript,21311,1946,https://github.com/facebook/react-native,105145
electron,2013-04-12T01:47:36Z,2022-10-02T22:10:00Z,15732,1064,C++,15905,1588,https://github.com/electron/electron,103912
kubernetes,2014-06-06T22:56:04Z,2022-10-02T23:15:22Z,52661,559,Go,40065,1582,https://github.com/kubernetes/kubernetes,92532
node,2014-11-26T19:57:11Z,2022-10-02T20:30:39Z,4893,308,JavaScript,13705,1329,https://github.com/nodejs/node,90689
deno,2018-05-15T01:34:26Z,2022-10-02T22:40:07Z,7006,195,Rust,5638,934,https://github.com/denoland/deno,85601
terminal,2017-08-11T18:38:22Z,2022-10-02T23:45:18Z,2886,83,C++,9039,1484,https://github.com/microsoft/terminal,85476
TypeScript,2014-06-17T15:28:39Z,2022-10-02T21:10:10Z,12217,164,TypeScript,29381,5576,https://github.com/microsoft/TypeScript,84674
angular,2014-09-18T16:12:01Z,2022-10-02T22:43:02Z,3222,206,TypeScript,23303,1085,https://github.com/angular/angular,84108
ant-design,2015-04-24T15:37:24Z,2022-10-02T23:44:46Z,9341,517,TypeScript,23874,854,https://github.com/ant-design/ant-design,82077
material-ui,2014-08-18T19:11:54Z,2022-10-02T23:43:15Z,14190,375,JavaScript,15346,1097,https://github.com/mui/material-ui,81674
PowerToys,2019-05-01T17:44:02Z,2022-10-02T23:45:15Z,3459,68,C#,13575,3460,https://github.com/microsoft/PowerToys,79185
models,2016-02-05T01:15:20Z,2022-10-02T23:27:08Z,2252,25,Python,5885,1110,https://github.com/tensorflow/models,74478
storybook,2016-03-18T04:23:44Z,2022-10-02T23:38:50Z,6940,1060,TypeScript,7427,1989,https://github.com/storybookjs/storybook,74213
rust,2010-06-16T20:39:03Z,2022-10-02T22:51:07Z,42873,102,Rust,36941,8480,https://github.com/rust-lang/rust,72627
transformers,2018-10-29T13:56:00Z,2022-10-02T21:37:12Z,7353,103,Python,9682,381,https://github.com/huggingface/transformers,71259
