name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
996.ICU,2019-03-26T07:31:14Z,2022-10-02T16:49:29Z,1063,0,,0,0,https://github.com/996icu/996.ICU,264097
free-programming-books,2013-10-11T06:50:37Z,2022-10-02T23:54:13Z,4636,0,,726,36,https://github.com/EbookFoundation/free-programming-books,250628
coding-interview-university,2016-06-06T02:34:12Z,2022-10-02T23:04:01Z,335,0,,313,39,https://github.com/jwasham/coding-interview-university,235048
awesome,2014-07-11T13:42:37Z,2022-10-02T23:52:06Z,593,0,,292,20,https://github.com/sindresorhus/awesome,221584
public-apis,2016-03-20T23:49:42Z,2022-10-02T23:52:09Z,1870,0,Python,399,5,https://github.com/public-apis/public-apis,210643
vue,2013-07-29T03:24:51Z,2022-10-02T21:51:52Z,1100,241,TypeScript,9535,347,https://github.com/vuejs/vue,199758
system-design-primer,2017-02-26T16:15:28Z,2022-10-02T23:52:07Z,193,0,Python,67,165,https://github.com/donnemartin/system-design-primer,198735
You-Dont-Know-JS,2013-11-16T02:37:24Z,2022-10-02T22:58:43Z,355,0,,822,81,https://github.com/getify/You-Dont-Know-JS,159653
CS-Notes,2018-02-13T14:56:24Z,2022-10-02T23:45:14Z,375,0,,438,114,https://github.com/CyC2018/CS-Notes,157131
javascript-algorithms,2018-03-24T07:47:04Z,2022-10-02T23:51:58Z,268,0,JavaScript,192,104,https://github.com/trekhleb/javascript-algorithms,152172
ohmyzsh,2009-08-28T18:15:37Z,2022-10-02T21:51:56Z,2709,0,Shell,4034,240,https://github.com/ohmyzsh/ohmyzsh,150673
awesome-python,2014-06-27T21:00:06Z,2022-10-02T23:42:44Z,527,0,Python,395,15,https://github.com/vinta/awesome-python,143453
gitignore,2010-11-08T20:17:14Z,2022-10-02T23:00:23Z,1522,0,,0,0,https://github.com/github/gitignore,139005
JavaGuide,2018-05-07T13:27:00Z,2022-10-02T21:39:28Z,721,0,Java,760,66,https://github.com/Snailclimb/JavaGuide,127654
javascript,2012-11-01T23:13:50Z,2022-10-02T21:10:59Z,781,0,JavaScript,1100,89,https://github.com/airbnb/javascript,127612
computer-science,2014-05-04T00:18:39Z,2022-10-02T23:46:50Z,223,0,,571,8,https://github.com/ossu/computer-science,124960
youtube-dl,2010-10-31T14:35:07Z,2022-10-02T21:09:18Z,1571,341,Python,21333,3873,https://github.com/ytdl-org/youtube-dl,113873
the-art-of-command-line,2015-05-20T15:11:03Z,2022-10-02T23:20:09Z,304,0,,116,95,https://github.com/jlevy/the-art-of-command-line,111124
fucking-algorithm,2020-02-19T09:01:23Z,2022-10-02T23:40:59Z,209,1,Markdown,418,67,https://github.com/labuladong/fucking-algorithm,110710
awesome-selfhosted,2015-06-01T02:33:17Z,2022-10-02T23:42:58Z,1964,0,JavaScript,665,64,https://github.com/awesome-selfhosted/awesome-selfhosted,104591
30-seconds-of-code,2017-11-29T17:35:03Z,2022-10-02T23:51:27Z,753,4,JavaScript,277,0,https://github.com/30-seconds/30-seconds-of-code,103351
d3,2010-09-27T17:22:42Z,2022-10-02T22:08:09Z,439,186,JavaScript,2108,3,https://github.com/d3/d3,102976
create-react-app,2016-07-17T14:55:11Z,2022-10-02T16:09:12Z,1942,83,JavaScript,6430,1427,https://github.com/facebook/create-react-app,97208
axios,2014-08-18T22:30:27Z,2022-10-02T22:28:27Z,603,39,JavaScript,3628,161,https://github.com/axios/axios,96054
free-programming-books-zh_CN,2013-11-04T01:59:19Z,2022-10-02T18:40:43Z,280,3,,0,0,https://github.com/justjavac/free-programming-books-zh_CN,95918
awesome-go,2014-07-06T13:42:15Z,2022-10-02T23:33:54Z,2825,0,Go,467,17,https://github.com/avelino/awesome-go,88842
three.js,2010-03-23T18:58:01Z,2022-10-02T23:37:32Z,10027,137,JavaScript,10977,366,https://github.com/mrdoob/three.js,85782
nodebestpractices,2017-09-15T08:33:19Z,2022-10-02T20:30:47Z,737,0,JavaScript,279,21,https://github.com/goldbergyoni/nodebestpractices,81875
puppeteer,2017-05-09T22:16:13Z,2022-10-02T23:29:26Z,2688,127,TypeScript,5304,251,https://github.com/puppeteer/puppeteer,80165
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2022-10-02T23:42:25Z,122,0,,0,0,https://github.com/trimstray/the-book-of-secret-knowledge,79533
tech-interview-handbook,2016-07-05T05:00:48Z,2022-10-02T23:30:47Z,182,0,JavaScript,47,14,https://github.com/yangshun/tech-interview-handbook,79375
vue-element-admin,2017-04-17T03:35:49Z,2022-10-02T18:52:36Z,313,49,Vue,2322,1144,https://github.com/PanJiaChen/vue-element-admin,78720
project-based-learning,2017-04-12T05:07:46Z,2022-10-02T23:52:32Z,179,0,,42,16,https://github.com/practical-tutorials/project-based-learning,78556
java-design-patterns,2014-08-09T16:45:18Z,2022-10-02T23:18:18Z,863,0,Java,565,142,https://github.com/iluwatar/java-design-patterns,77113
animate.css,2011-10-12T10:07:38Z,2022-10-02T19:59:29Z,313,22,CSS,807,21,https://github.com/animate-css/animate.css,75902
thefuck,2015-04-08T15:08:04Z,2022-10-02T23:53:22Z,478,17,Python,450,200,https://github.com/nvbn/thefuck,73641
clean-code-javascript,2016-11-25T22:25:41Z,2022-10-02T22:51:49Z,148,0,JavaScript,81,48,https://github.com/ryanmcdermott/clean-code-javascript,73191
laravel,2011-06-08T03:06:08Z,2022-10-02T21:15:36Z,1449,121,PHP,0,0,https://github.com/laravel/laravel,71097
Font-Awesome,2012-02-17T14:19:43Z,2022-10-02T19:59:35Z,193,48,JavaScript,13307,5235,https://github.com/FortAwesome/Font-Awesome,70203
realworld,2016-02-26T20:49:53Z,2022-10-02T23:00:56Z,229,0,Shell,456,50,https://github.com/gothinkster/realworld,69332
django,2012-04-28T02:47:18Z,2022-10-02T23:31:17Z,7677,0,Python,0,0,https://github.com/django/django,66577
FiraCode,2014-11-11T19:32:38Z,2022-10-02T22:12:04Z,123,29,Clojure,894,333,https://github.com/tonsky/FiraCode,66547
awesome-vue,2015-10-20T00:16:14Z,2022-10-02T21:28:52Z,3347,0,,180,25,https://github.com/vuejs/awesome-vue,66485
papers-we-love,2013-12-15T14:31:41Z,2022-10-02T22:41:20Z,406,0,Shell,162,12,https://github.com/papers-we-love/papers-we-love,64723
gin,2014-06-16T23:57:25Z,2022-10-02T21:43:59Z,858,22,Go,1451,457,https://github.com/gin-gonic/gin,63268
hugo,2013-07-04T15:26:26Z,2022-10-02T23:18:05Z,1785,207,Go,5556,597,https://github.com/gohugoio/hugo,62712
svelte,2016-11-20T18:13:05Z,2022-10-02T18:57:20Z,2417,0,TypeScript,3939,668,https://github.com/sveltejs/svelte,62434
reveal.js,2011-06-07T18:54:22Z,2022-10-02T22:58:36Z,365,38,JavaScript,1549,619,https://github.com/hakimel/reveal.js,62127
