name,owner,url
996.ICU,996icu,https://github.com/996icu/996.ICU
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university
awesome,sindresorhus,https://github.com/sindresorhus/awesome
developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap
public-apis,public-apis,https://github.com/public-apis/public-apis
vue,vuejs,https://github.com/vuejs/vue
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer
react,facebook,https://github.com/facebook/react
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS
bootstrap,twbs,https://github.com/twbs/bootstrap
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python
flutter,flutter,https://github.com/flutter/flutter
awesome-python,vinta,https://github.com/vinta/awesome-python
linux,torvalds,https://github.com/torvalds/linux
gitignore,github,https://github.com/github/gitignore
vscode,microsoft,https://github.com/microsoft/vscode
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide
javascript,airbnb,https://github.com/airbnb/javascript
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days
computer-science,ossu,https://github.com/ossu/computer-science
youtube-dl,ytdl-org,https://github.com/ytdl-org/youtube-dl
the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line
fucking-algorithm,labuladong,https://github.com/labuladong/fucking-algorithm
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted
react-native,facebook,https://github.com/facebook/react-native
go,golang,https://github.com/golang/go
electron,electron,https://github.com/electron/electron
30-seconds-of-code,30-seconds,https://github.com/30-seconds/30-seconds-of-code
d3,d3,https://github.com/d3/d3
create-react-app,facebook,https://github.com/facebook/create-react-app
axios,axios,https://github.com/axios/axios
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN
next.js,vercel,https://github.com/vercel/next.js
kubernetes,kubernetes,https://github.com/kubernetes/kubernetes
node,nodejs,https://github.com/nodejs/node
awesome-go,avelino,https://github.com/avelino/awesome-go
three.js,mrdoob,https://github.com/mrdoob/three.js
deno,denoland,https://github.com/denoland/deno
